CRN,COURSE,COLL,CRED,DELIVERY,TITLE,PROFS,TERM,TIMEBLOCK,ROOM
53505,ART 102:24,AR,3,,Introduction to Drawing II,"Brown-Georgallas, Kate",2ND,A2/K4/L1,IM002
53506,ART 102:25,AR,3,,Introduction to Drawing II,"Tetu, Odile",2ND,X7/Z7,IM002
54758,ART 102:26,AR,3,,Introduction to Drawing II,"Brown-Georgallas, Kate",2ND,E7,IM002
55318,ART 102:27,AR,3,,Introduction to Drawing II,"MacLean, Andy",2ND,E5,IM002
55319,ART 102:28,AR,3,,Introduction to Drawing II,"Lounsbury, Grant",2ND,E4,IM002
55717,ART 102:29,AR,3,,Introduction to Drawing II,"RT - TBA, A",2ND,U2/Z2,IM002
51794,ART 115:11,AR,3,In-Person,Introduction to Design,"Young, Ruth",1ST,U8/Z8,IM019
51795,ART 115:12,AR,3,In-Person,Introduction to Design,"Young, Ruth",1ST,D3/E3/R3,IM019
50414,ART 115:21,AR,3,,Introduction to Design,"Young, Ruth",2ND,U8/Z8,IM019
50415,ART 115:22,AR,3,,Introduction to Design,"Young, Ruth",2ND,E7,IM019
54752,ART 125:10,AR,3,Online-Scheduled Delivery,Materials & Methods,"Gillam, Leigh",1ST,U4/W4,
54356,ART 125:20,AR,3,,Materials & Methods,"Gillam, Leigh",2ND,U7/W7,IM002
43871,ART 141:11,AR,3,In-Person,Art & Society I,"Gregory, Sharon",1ST,Z4/Z5,BB236
51098,ART 141:12,AR,3,In-Person,Art & Society I,"Sparks, Arthur (Bruce)",1ST,W7/W8,BB237
43872,ART 142:21,AR,3,,Art & Society II,"Gregory, Sharon",2ND,Z4/Z5,CO265
51099,ART 142:22,AR,3,,Art & Society II,"Sparks, Arthur (Bruce)",2ND,W7/W8,IM113
55316,ART 145:10,AR,3,In-Person,Introduction to Color,"McFarlane, Adele",1ST,U5/Z5,IM021
51105,ART 145:20,AR,3,,Introduction to Color,"McFarlane, Adele",2ND,U5/Z5,IM021
51106,ART 202:20,AR,3,,Intro to Scenic Design,"Pygott, Ian",2ND,U4/W4,IM002
53508,ART 204:10,AR,3,In-Person,Introduction to Painting I,"McFarlane, Adele",1ST,O4/W5,IM002
54759,ART 205:20,AR,3,,Introduction to Painting II,"McFarlane, Adele",2ND,O4/W5,IM002
55715,ART 211:20,AR,3,,Stained Glass Studio I,"Fecteau, Janette",2ND,O7/W8,IM018
51798,ART 221:20,AR,3,,Batik Studio,"Fecteau, Janette",2ND,U8/Z8,IM018
53512,ART 233:10,AR,3,In-Person,Introduction to Printmaking,"Tetu, Odile",1ST,X7/Z7,IM021
54754,ART 244:10,AR,3,In-Person,History of Photography,"Sparks, Arthur (Bruce)",1ST,U7/U8,BB237
55741,ART 252:20,AR,3,,Baroque Art,"Gregory, Sharon",2ND,W4/W5,IM113
55324,ART 255:20,AR,3,,Watercolour Techniques,"Rogers, William",2ND,U7/W7,IM019
55320,ART 265:10,AR,3,Online-Scheduled Delivery,Introductory Animation,"Gillam, Leigh",1ST,E1/F1/R1,
55321,ART 265:20,AR,3,,Introductory Animation,"Gillam, Leigh",2ND,E4,IM019
55328,ART 295:10,AR,3,In-Person,ST: Digital Video Production,"Karuna, Antoinette",1ST,X7/Z7,IM019
55329,ART 295:20,AR,3,,ST: Digital Video Production,"Karuna, Antoinette",2ND,X7/Z7,IM019
55714,ART 297:10,AR,3,Online-Scheduled Delivery,ST: Design for Stained Glass,"Fecteau, Janette",1ST,O7/W8,
55650,ART 298:20,AR,3,,ST: Art & Indigenous Pedagogy,"Sylliboy, Michelle",2ND,U8/Z8,IM002
55325,ART 299:20,AR,3,,ST: Global Contemporary Art,"Sparks, Arthur (Bruce)",2ND,E4,IM113
55547,ART 312:10,AR,3,Online-Scheduled Delivery,Art & Politics,"Grenier, Yvon",1ST,Z4/Z5,
53521,ART 346:10,AR,3,In-Person,Botanical Art: Drawing,"Brown-Georgallas, Kate",1ST,A2/K4/L1,IM019
53318,ART 351:20,AR,3,,Anat for the Artist: Drawing,"Tragakis, Adam",2ND,E5,IM019
55739,ART 356:10,AR,3,In-Person,Christian Art: Life of Christ,"Gregory, Sharon",1ST,W4/W5,SCHW289
55834,ART 385:20,AR,3,,ST: Feminist Art History,"RT - TBA, A",2ND,T2,CO265
43621,BIOL 111:11,SC,3,Online-Scheduled Delivery,Intro Cell Biology,"Bishop, Cory",1ST,C4/C5/C6,
43620,BIOL 111:12,SC,3,Online-Scheduled Delivery,Intro Cell Biology,"Bishop, Cory",1ST,K4/K5/K6,
53081,BIOL 111:13S,SC,3,Online-Scheduled Delivery,Intro Cell Biology,"Toxopeus, Jantina",1ST,K4/K5/K6,
43622,BIOL 111L:11,SC,0,In-Person,BIOL 111 Lab,"Bishop, Cory; Cardinal-Aucoin, Michael",1ST,X1/Z1,BB119
43626,BIOL 111L:12,SC,0,In-Person,BIOL 111 Lab,"Bishop, Cory; Cardinal-Aucoin, Michael",1ST,U2/Z2,BB119
44136,BIOL 111L:13,SC,0,In-Person,BIOL 111 Lab,"Bishop, Cory; Cardinal-Aucoin, Michael",1ST,U8/Z8,BB119
43623,BIOL 111L:14,SC,0,In-Person,BIOL 111 Lab,"Bishop, Cory; Cardinal-Aucoin, Michael",1ST,X7/Z7,BB119
43624,BIOL 111L:15,SC,0,In-Person,BIOL 111 Lab,"Bishop, Cory; Cardinal-Aucoin, Michael",1ST,O1/W2,BB119
43625,BIOL 111L:16,SC,0,In-Person,BIOL 111 Lab,"Bishop, Cory; Cardinal-Aucoin, Michael",1ST,O7/W8,BB119
46124,BIOL 112:21,SC,3,,Diversity of Life,"Schuegraf, Monica; Burbidge, Maryann",2ND,C4/C5/C6,IM114
43627,BIOL 112:22,SC,3,,Diversity of Life,"Schuegraf, Monica; Burbidge, Maryann",2ND,K4/K5/K6,SCHW110
43629,BIOL 112L:21,SC,0,,BIOL 112 Lab,"Wyeth, Russell; Cardinal-Aucoin, Michael",2ND,X1/Z1,BB119
43630,BIOL 112L:22,SC,0,,BIOL 112 Lab,"Wyeth, Russell; Cardinal-Aucoin, Michael",2ND,X7/Z7,BB119
43631,BIOL 112L:23,SC,0,,BIOL 112 Lab,"Wyeth, Russell; Cardinal-Aucoin, Michael",2ND,O1/W2,BB119
43632,BIOL 112L:24,SC,0,,BIOL 112 Lab,"Wyeth, Russell; Cardinal-Aucoin, Michael",2ND,O7/W8,BB119
43633,BIOL 112L:25,SC,0,,BIOL 112 Lab,"Wyeth, Russell; Cardinal-Aucoin, Michael",2ND,U2/Z2,BB122
43800,BIOL 112L:26,SC,0,,BIOL 112 Lab,"Wyeth, Russell; Cardinal-Aucoin, Michael",2ND,U8/Z8,BB119
46697,BIOL 115:20,SC,3,,Microbes in Human Biology,"Karunakaran, Velautham",2ND,K4/K5/K6,IM114
41308,BIOL 115L:20,SC,0,,BIOL 115 Lab,"Karunakaran, Velautham",2ND,U8/Z8,MSBS225
53636,BIOL 151:10,SC,3,In-Person,Human Anatomy & Physiology I,"Rasmussen, Roy",1ST,B9/E2/H1,MSBS225
53637,BIOL 151L:11,SC,0,In-Person,BIOL 151 Lab,"Rasmussen, Roy",1ST,X1/Z1,BB227
53639,BIOL 151L:12,SC,0,In-Person,BIOL 151 Lab,"Rasmussen, Roy",1ST,B5/C5/K2,BB227
53640,BIOL 151L:13,SC,0,In-Person,BIOL 151 Lab,"Rasmussen, Roy",1ST,C6/K3/L3,BB227
53641,BIOL 151L:14,SC,0,In-Person,BIOL 151 Lab,"Rasmussen, Roy",1ST,A3/B3/L2,BB227
53642,BIOL 151L:15,SC,0,In-Person,BIOL 151 Lab,"Rasmussen, Roy",1ST,O8/X8,BB227
53644,BIOL 152:20,SC,3,,Human Anatony & Physiology II,"Rasmussen, Roy",2ND,C1/C2/C3,BB237
53645,BIOL 152L:21,SC,0,,BIOL 152 Lab,"Rasmussen, Roy",2ND,X1/Z1,BB227
53647,BIOL 152L:22,SC,0,,BIOL 152 Lab,"Rasmussen, Roy",2ND,B5/C5/K2,BB227
53648,BIOL 152L:23,SC,0,,BIOL 152 Lab,"Rasmussen, Roy",2ND,C6/K3/L3,BB227
53649,BIOL 152L:24,SC,0,,BIOL 152 Lab,"Rasmussen, Roy",2ND,A3/B3/L2,BB227
53650,BIOL 152L:25,SC,0,,BIOL 152 Lab,"Rasmussen, Roy",2ND,O8/X8,BB227
52006,BIOL 201:20,SC,3,,Animal Biology,"Toxopeus, Jantina",2ND,L1/L2/L3,BB237
52010,BIOL 201L:21,SC,0,,BIOL 201 Lab,"Lauff, Randy",2ND,U7/W7,BB226
52007,BIOL 201L:22,SC,0,,BIOL 201 Lab,"Lauff, Randy",2ND,X7/Z7,BB226
52008,BIOL 201L:23,SC,0,,BIOL 201 Lab,"Lauff, Randy",2ND,O7/W8,BB226
52009,BIOL 201L:24,SC,0,,BIOL 201 Lab,"Lauff, Randy",2ND,U8/Z8,BB226
52011,BIOL 201L:25,SC,0,,BIOL 201 Lab,"Lauff, Randy",2ND,E4,BB226
52012,BIOL 202:10,SC,3,In-Person,Plant Biology,"Garbary, David",1ST,L1/L2/L3,SNP100
52013,BIOL 202L:11,SC,0,In-Person,BIOL 202 Lab,"Garbary, David",1ST,H1/X7/Z7,BB320
52014,BIOL 202L:12,SC,0,In-Person,BIOL 202 Lab,"Garbary, David",1ST,I1/U7/W7,BB320
53398,BIOL 202L:13,SC,0,In-Person,BIOL 202 Lab,"Garbary, David",1ST,A4/B1/C1,BB320
46699,BIOL 203:10,SC,3,In-Person,Intro Ecology,"Taylor, Barry",1ST,K4/K5/K6,GM001
40407,BIOL 203L:11,SC,0,In-Person,BIOL 203 Lab,"Taylor, Barry",1ST,X7/Z7,BB228
40408,BIOL 203L:12,SC,0,In-Person,BIOL 203 Lab,"Taylor, Barry",1ST,O7/W8,BB228
40410,BIOL 203L:13,SC,0,In-Person,BIOL 203 Lab,"Taylor, Barry",1ST,U8/Z8,BB228
40406,BIOL 203L:14,SC,0,In-Person,BIOL 203 Lab,"Taylor, Barry",1ST,U7/W7,BB228
46701,BIOL 204:20,SC,3,,Introduction to Genetics,"Galway, Moira",2ND,K4/K5/K6,MULH2070
40412,BIOL 204L:21,SC,0,,BIOL 204 Lab,"Galway, Moira",2ND,U7/W7,BB228
40416,BIOL 204L:22,SC,0,,BIOL 204 Lab,"Galway, Moira",2ND,X7/Z7,BB228
40417,BIOL 204L:23,SC,0,,BIOL 204 Lab,"Galway, Moira",2ND,O7/W8,BB228
40426,BIOL 204L:24,SC,0,,BIOL 204 Lab,"Galway, Moira",2ND,U8/Z8,BB228
49684,BIOL 204L:25,SC,0,,BIOL 204 Lab,"Galway, Moira",2ND,E6,BB228
49487,BIOL 215:20,SC,3,,Microbiology for HNU,"Karunakaran, Velautham",2ND,B1/B2/B3,MULH4034
49488,BIOL 215L:21,SC,0,,BIOL 215 Lab,"Karunakaran, Velautham",2ND,C6/K6/L3,BB320
49489,BIOL 215L:22,SC,0,,BIOL 215 Lab,"Karunakaran, Velautham",2ND,O8/X8,BB320
55649,BIOL 220:66,SC,6,Distance (Other),Health & Environmental Issues,"Karunakaran, Velautham",FULL,TBA,Online
51421,BIOL 221:10,SC,3,In-Person,Issues in Resource Management,"Pulsifer, Mark",1ST,D3/E3/R3,MULH2034
46702,BIOL 251:10,SC,3,In-Person,Human Anatomy & Physiology I,"Rodela, Tamara (Tammy)",1ST,C1/C2/C3,MULH4030
46432,BIOL 251L:11,SC,0,In-Person,BIOL 251 Lab,"Rodela, Tamara (Tammy)",1ST,O7/W8,BB314
46433,BIOL 251L:12,SC,0,In-Person,BIOL 251 Lab,"Rodela, Tamara (Tammy)",1ST,X7/Z7,BB314
53643,BIOL 251L:13,SC,0,In-Person,BIOL 251 Lab,"Rodela, Tamara (Tammy)",1ST,U8/Z8,BB314
52167,BIOL 251L:14,SC,0,In-Person,BIOL 251 Lab,"Rodela, Tamara (Tammy)",1ST,O8/X8,BB314
54926,BIOL 251L:15,SC,0,In-Person,BIOL 251 Lab,"Rodela, Tamara (Tammy)",1ST,C6/K3/L3,BB314
46928,BIOL 252:20,SC,3,,Human Anatomy & Physiology II,"Rodela, Tamara (Tammy)",2ND,C1/C2/C3,SCHW110
40444,BIOL 252L:21,SC,0,,BIOL 252 Lab,"Rodela, Tamara (Tammy)",2ND,O7/W8,BB314
46434,BIOL 252L:22,SC,0,,BIOL 252 Lab,"Rodela, Tamara (Tammy)",2ND,X7/Z7,BB314
52170,BIOL 252L:23,SC,0,,BIOL 252 Lab,"Rodela, Tamara (Tammy)",2ND,U8/Z8,BB314
52171,BIOL 252L:24,SC,0,,BIOL 252 Lab,"Rodela, Tamara (Tammy)",2ND,O8/X8,BB314
54927,BIOL 252L:25,SC,0,,BIOL 252 Lab,"Rodela, Tamara (Tammy)",2ND,C6/K3/L3,BB314
55468,BIOL 285:20,SC,3,,Paleontology: History of Life,"Melchin, Mike",2ND,L4/L5/L6,PS2041
55470,BIOL 285L:20,SC,0,,BIOL 285 Lab,"Melchin, Mike",2ND,U8/Z8,PS2034
52015,BIOL 302:10,SC,3,In-Person,Evolution,"Garbary, David",1ST,C4/C5/C6,BB236
52016,BIOL 302L:10,SC,0,In-Person,BIOL 302 Lab,"Garbary, David",1ST,T4,BB337
54521,BIOL 304:10,SC,3,In-Person,Comparative Physiology,"Rodela, Tamara (Tammy)",1ST,C4/C5/C6,BB305
54522,BIOL 304L:10,SC,0,In-Person,BIOL 304 Lab,"Rodela, Tamara (Tammy)",1ST,U7/W7,BB314
54526,BIOL 308:20,SC,3,,Biology of Populations,"Scrosati, Ricardo",2ND,C4/C5/C6,BB236
51264,BIOL 311:10,SC,3,Online-Scheduled Delivery,Coastal Marine Ecology,"Scrosati, Ricardo",1ST,C4/C5/C6,
51265,BIOL 311L:10,SC,0,Online-Scheduled Delivery,BIOL 311 Lab,"Scrosati, Ricardo",1ST,O7/W8,
46704,BIOL 315:10,SC,3,In-Person,Intro Microbiology,"Galway, Moira",1ST,A4/A5/A6,SNP100
40945,BIOL 315L:11,SC,0,In-Person,BIOL 315 Lab,"Galway, Moira",1ST,O7/W8,BB320
40946,BIOL 315L:12,SC,0,In-Person,BIOL 315 Lab,"Galway, Moira",1ST,U8/Z8,BB320
55802,BIOL 315L:13,SC,0,In-Person,BIOL 315 Lab,"Galway, Moira",1ST,O8/X8,BB320
46705,BIOL 331:20,SC,3,,Biostatistics,"Cupido, Kyran",2ND,C1/C2/C3,MULH3024
52930,BIOL 331L:20,SC,0,,BIOL 331 Lab,"Keizer, Peter",2ND,C9,MULH4024
55482,BIOL 335:20,SC,3,,Developmental Biology,"Bishop, Cory",2ND,L4/L5/L6,BB305
55483,BIOL 335L:20,SC,0,,BIOL 335 Lab,"Bishop, Cory",2ND,O7/W8,BB407
54630,BIOL 342:10,SC,3,In-Person,Invertebrate Zoology,"Wyeth, Russell",1ST,A1/A2/A3,BB305
54631,BIOL 342L:10,SC,0,In-Person,BIOL 342 Lab,"Wyeth, Russell",1ST,U8/Z8,BB407
52017,BIOL 343:10,SC,3,In-Person,Comp Anatomy of Vertebrates,"Lauff, Randy",1ST,K1/K2/K3,BB236
52238,BIOL 343L:10,SC,0,In-Person,BIOL 343 Lab,"Lauff, Randy",1ST,X7/Z7,BB226
52458,BIOL 345:20,SC,3,,Communities & Ecosystems,"Taylor, Barry",2ND,B1/B2/B3,BB236
53660,BIOL 360:20,SC,3,,Global Change Biology,"Scrosati, Ricardo",2ND,Z4/Z5,BB236
54899,BIOL 381:20,SC,3,,ST: Comparative Endocrinology,"Rodela, Tamara (Tammy)",2ND,C4/C5/C6,BB305
54900,BIOL 381L:20,SC,0,,BIOL 381 Lab,"Rodela, Tamara (Tammy)",2ND,U7/W7,BB314
48723,BIOL 391:00,SC,0,Online-Scheduled Delivery,Junior Seminar,"Wyeth, Russell",FULL,TBA,
55480,BIOL 395:20,SC,3,,Cell Biology,"Toxopeus, Jantina",2ND,K4/K5/K6,BB337
55481,BIOL 395L:20,SC,0,,BIOL 395 Lab,"Toxopeus, Jantina",2ND,X7/Z7,BB320
51422,BIOL 407:20,SC,3,,Integrated Resource Management,"Pulsifer, Mark",2ND,E7,BB337
51423,BIOL 407L:20,SC,0,,BIOL 407 Lab,"Pulsifer, Mark",2ND,O7/W8,BB335M
54527,BIOL 415:10,SC,3,Online-Scheduled Delivery,Biogeography,"Scrosati, Ricardo",1ST,O1/O2,
54528,BIOL 415L:10,SC,0,Online-Scheduled Delivery,BIOL 415 Lab,"Scrosati, Ricardo",1ST,U7/W7,
55484,BIOL 452:20,SC,3,,Bioinformatics,"Bishop, Cory",2ND,Z1/Z2,BB305
55422,BIOL 453:20,SC,3,,Adv Behavioral Neuroscience I,"McKenna, John",2ND,W7/W8,BB305
54523,BIOL 468:20,SC,3,,Restoration Ecology,"Taylor, Barry",2ND,K4/K5/K6,BB305
54524,BIOL 468L:20,SC,0,,BIOL 468 Lab,"Taylor, Barry",2ND,U8/Z8,BB335M
53668,BIOL 472:10,SC,3,In-Person,Freshwater Ecology,"Taylor, Barry",1ST,C1/C2/C3,AX124
53669,BIOL 472L:10,SC,0,In-Person,BIOL 472 Lab,"Taylor, Barry",1ST,O8/X8,BB335M
55733,BIOL 475:00,SC,3,Online-Scheduled Delivery,Accessing BIOL Literature,"Wyeth, Russell",FULL,TBA,
55485,BIOL 484:10,SC,3,In-Person,Animal Behaviour,"Wyeth, Russell",1ST,L4/L5/L6,BB337
55612,BIOL 484L:10,SC,0,In-Person,BIOL 484 Lab,"Wyeth, Russell",1ST,TBA,
51278,BIOL 491:00,SC,0,Online-Scheduled Delivery,Senior Seminar,"Wyeth, Russell",FULL,B4/B5/B6,
46716,BIOL 493:00,SC,3,Online-Scheduled Delivery,Honours Thesis,"Wyeth, Russell",FULL,TBA,
42343,BSAD 101:11A,BU,3,In-Person,Intro to Business,"Long, Bradley",1ST,W4/W5,SCHW110
54770,BSAD 101:11B,BU,3,In-Person,Intro to Business,"Long, Bradley",1ST,W4/W5,SCHW110
48240,BSAD 101:12A,BU,3,In-Person,Intro to Business,"Brennan, Theresa (Louise)",1ST,Z1/Z2,SCHW110
54771,BSAD 101:12B,BU,3,In-Person,Intro to Business,"Brennan, Theresa (Louise)",1ST,Z1/Z2,SCHW110
48241,BSAD 101:13A,BU,3,In-Person,Intro to Business,"Brennan, Theresa (Louise)",1ST,Z4/Z5,SCHW110
54772,BSAD 101:13B,BU,3,In-Person,Intro to Business,"Brennan, Theresa (Louise)",1ST,Z4/Z5,SCHW110
48242,BSAD 101:14A,BU,3,Online-Scheduled Delivery,Intro to Business,"Brennan, Theresa (Louise)",1ST,U4/U5,
54773,BSAD 101:14B,BU,3,Online-Scheduled Delivery,Intro to Business,"Brennan, Theresa (Louise)",1ST,U4/U5,
53986,BSAD 101L:11A,BU,0,In-Person,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,U7,SCHW414
53987,BSAD 101L:11B,BU,0,In-Person,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,W7,SCHW414
54729,BSAD 101L:12A,BU,0,In-Person,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,X7,SCHW414
54730,BSAD 101L:12B,BU,0,In-Person,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,Z7,SCHW414
53988,BSAD 101L:13A,BU,0,In-Person,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,W8,SCHW414
53989,BSAD 101L:13B,BU,0,In-Person,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,O7,SCHW414
54731,BSAD 101L:14A,BU,0,Online-Scheduled Delivery,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,Z8,
54732,BSAD 101L:14B,BU,0,Online-Scheduled Delivery,BSAD 101 Lab,"MacDonnell, Moira (Anne)",1ST,U8,
42349,BSAD 102:21A,BU,3,,Business Decision-Making,"MacIsaac, Mark",2ND,U1/U2,SCHW205
54775,BSAD 102:21B,BU,3,,Business Decision-Making,"MacIsaac, Mark",2ND,U1/U2,SCHW205
42348,BSAD 102:22A,BU,3,,Business Decision-Making,"MacIsaac, Mark",2ND,U4/U5,SCHW205
54776,BSAD 102:22B,BU,3,,Business Decision-Making,"MacIsaac, Mark",2ND,U4/U5,SCHW205
42351,BSAD 102:23A,BU,3,,Business Decision-Making,"MacIsaac, Mark",2ND,U7/U8,SCHW205
54777,BSAD 102:23B,BU,3,,Business Decision-Making,"MacIsaac, Mark",2ND,U7/U8,SCHW205
50711,BSAD 102:24A,BU,3,,Business Decision-Making,"Mukerji, Bhasker",2ND,Z4/Z5,SCHW205
54779,BSAD 102:24B,BU,3,,Business Decision-Making,"Mukerji, Bhasker",2ND,Z4/Z5,SCHW205
53992,BSAD 102L:21A,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,U7,SCHW289
53993,BSAD 102L:21B,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,W7,SCHW289
54733,BSAD 102L:22A,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,X7,SCHW289
54734,BSAD 102L:22B,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,Z7,SCHW289
53994,BSAD 102L:23A,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,W8,SCHW289
53995,BSAD 102L:23B,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,O7,SCHW289
54735,BSAD 102L:24A,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,Z8,SCHW289
54736,BSAD 102L:24B,BU,0,,BSAD 102 Lab,"MacDonnell, Moira (Anne)",2ND,U8,SCHW289
47001,BSAD 221:11,BU,3,In-Person,Intro Financial Accounting,"Alex, Jennifer",1ST,W4/W5,SCHW215
43834,BSAD 221:12,BU,3,In-Person,Intro Financial Accounting,"McIver, Rhonda",1ST,I1/I2,SCHW156
50088,BSAD 221:13,BU,3,In-Person,Intro Financial Accounting,"Huang, Jianning",1ST,T2,SCHW156
51383,BSAD 221:14,BU,3,Online-Scheduled Delivery,Intro Financial Accounting,"Madden, Robert",1ST,Z1/Z2,
43911,BSAD 223:21,BU,3,,Intro Managerial Accounting,"MacAulay, Kenneth",2ND,U1/U2,SCHW215
43912,BSAD 223:22,BU,3,,Intro Managerial Accounting,"MacAulay, Kenneth",2ND,U4/U5,SCHW215
43546,BSAD 223:23,BU,3,,Intro Managerial Accounting,"Alex, Jennifer",2ND,W4/W5,SCHW156
43547,BSAD 223:24,BU,3,,Intro Managerial Accounting,"SAD – TBA2, B",2ND,O1/O2,SCHW156
47004,BSAD 231:11,BU,3,Online-Scheduled Delivery,Foundations of Marketing,"Mukerji, Bhasker",1ST,U7/U8,
51385,BSAD 231:12,BU,3,In-Person,Foundations of Marketing,"Anthony, Denton",1ST,Z1/Z2,SCHW156
47005,BSAD 231:21,BU,3,,Foundations of Marketing,"Mukerji, Bhasker",2ND,U7/U8,SCHW156
